id,no,name,thumbnail,description
3e31068e-7fe1-46a7-bcc4-264622c72934,1,ESL,https://cms.alpha.kidsloop.net/static/media/esl.b5435761.png,Badanamu ESL
17385fb8-7c73-4ee1-918a-fadc3f31483a,2,STEAM,https://cms.alpha.kidsloop.net/static/media/steam.146d272c.png,Badanamu Steam
